Elapsed time,vals
3.166,25.54
3.168,24.335
3.17,22.498
3.172,20.311
3.174,18.722
3.176,18.093
3.178,17.945
3.18,18.619
3.182,19.864
3.184,20.913
3.186,21.68
3.188,20.922
3.19,20.208
3.192,18.322
3.194,15.432
3.196,12.68
3.198,10.45
3.2,9.404
3.202,9.396
3.204,10.643
3.206,12.3
3.208,14.195
3.21,15.49
3.212,16.628
3.214,17.441
3.216,17.286
3.218,16.677
3.22,16.129
3.222,14.68
3.224,13.188
3.226,12.772
3.228,11.406
3.23,11.359
3.232,10.933
3.234,11.841
3.236,12.191
3.238,13.185
3.24,13.651
3.242,14.587
3.244,14.318
3.246,14.408
3.248,14.619
3.25,14.066
3.252,12.95
3.254,11.93
3.256,11.202
3.258,10.251
3.26,9.199
3.262,8.247
3.264,8.097
3.266,7.587
3.268,8.318
3.27,8.788
3.272,10.194
3.274,10.961
3.276,11.784
3.278,11.735
3.28,10.891
3.282,10.088
3.284,9.162
